"generation","genome","accuracy","training_time","fitness","layer","type","units","activation"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,2,"Dense",89,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,4,"Dense",76,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,5,"Dense",102,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,6,"Dense",123,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,7,"Dense",18,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,8,"Dense",83,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,9,"Dense",28,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,10,"Dense",91,"relu"
0,0,0.5116999745368958,21.55024290084839,0.5009248530864716,11,"Dense",10,"softmax"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,2,"Dense",51,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,3,"Dense",125,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,4,"Dense",84,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,6,"Dense",85,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,7,"Dense",112,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,8,"Dense",30,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,9,"Dense",60,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,10,"Dense",12,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,11,"Dense",120,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,12,"Dense",121,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,13,"Dense",37,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,15,"Dense",77,"relu"
0,1,0.4893999993801117,26.083970069885254,0.47635801434516906,16,"Dense",10,"softmax"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,2,"Dense",119,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,4,"Dense",78,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,5,"Dense",39,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,6,"Dense",111,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,7,"Dense",115,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,8,"Dense",16,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,9,"Dense",112,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,10,"Dense",52,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,11,"Dense",110,"relu"
0,2,0.47760000824928284,101.41697001457214,0.42689152324199675,12,"Dense",10,"softmax"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,2,"Dense",93,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,4,"Dense",26,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,5,"Dense",46,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,6,"Dense",116,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,7,"Dense",18,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,9,"Dense",81,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,10,"Dense",81,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,11,"Dense",72,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,12,"Dense",99,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,13,"Dense",100,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,14,"Dense",22,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,15,"Dense",50,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,16,"Dense",86,"relu"
0,3,0.40389999747276306,86.97497057914734,0.36041251218318937,17,"Dense",10,"softmax"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,2,"Dense",107,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,4,"Dense",37,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,6,"Dense",49,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,8,"Dense",115,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,9,"Dense",108,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,10,"Dense",11,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,11,"Dense",58,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,13,"Dense",69,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,15,"Dense",88,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,16,"Dense",67,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,17,"Dense",76,"relu"
0,4,0.460999995470047,33.01939392089844,0.44449029850959776,19,"Dense",65,"relu"
