"generation","genome","accuracy","training_time","fitness","layer","type","units","activation"
0,0,0.3921000063419342,14.539470195770264,0.38483027124404906,2,"Dense",17,"relu"
0,0,0.3921000063419342,14.539470195770264,0.38483027124404906,3,"Dense",10,"relu"
0,0,0.3921000063419342,14.539470195770264,0.38483027124404906,5,"Dense",10,"softmax"
0,1,0.22190000116825104,49.2070848941803,0.1972964587211609,2,"Dense",8,"relu"
0,1,0.22190000116825104,49.2070848941803,0.1972964587211609,3,"Dense",27,"relu"
0,1,0.22190000116825104,49.2070848941803,0.1972964587211609,4,"Dense",9,"relu"
0,1,0.22190000116825104,49.2070848941803,0.1972964587211609,5,"Dense",10,"softmax"
0,2,0.44369998574256897,14.924505472183228,0.43623773300647734,2,"Dense",9,"relu"
0,2,0.44369998574256897,14.924505472183228,0.43623773300647734,3,"Dense",15,"relu"
0,2,0.44369998574256897,14.924505472183228,0.43623773300647734,4,"Dense",23,"relu"
0,2,0.44369998574256897,14.924505472183228,0.43623773300647734,5,"Dense",22,"relu"
0,2,0.44369998574256897,14.924505472183228,0.43623773300647734,7,"Dense",10,"softmax"
0,3,0.4832000136375427,18.156095266342163,0.4741219660043716,2,"Dense",11,"relu"
0,3,0.4832000136375427,18.156095266342163,0.4741219660043716,3,"Dense",32,"relu"
0,3,0.4832000136375427,18.156095266342163,0.4741219660043716,4,"Dense",10,"softmax"
0,4,0.44190001487731934,14.987215280532837,0.4344064072370529,2,"Dense",13,"relu"
0,4,0.44190001487731934,14.987215280532837,0.4344064072370529,3,"Dense",27,"relu"
0,4,0.44190001487731934,14.987215280532837,0.4344064072370529,4,"Dense",31,"relu"
0,4,0.44190001487731934,14.987215280532837,0.4344064072370529,6,"Dense",10,"softmax"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,2,"Dense",11,"relu"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,3,"Dense",21,"relu"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,5,"Dense",32,"relu"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,6,"Dense",24,"relu"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,7,"Dense",14,"relu"
0,5,0.46459999680519104,18.55956768989563,0.4553202129602432,8,"Dense",10,"softmax"
0,6,0.39399999380111694,25.715404510498047,0.38114229154586793,2,"Dense",15,"relu"
0,6,0.39399999380111694,25.715404510498047,0.38114229154586793,3,"Dense",27,"relu"
0,6,0.39399999380111694,25.715404510498047,0.38114229154586793,4,"Dense",13,"relu"
0,6,0.39399999380111694,25.715404510498047,0.38114229154586793,5,"Dense",20,"relu"
0,6,0.39399999380111694,25.715404510498047,0.38114229154586793,7,"Dense",10,"softmax"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,2,"Dense",16,"relu"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,3,"Dense",16,"relu"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,4,"Dense",15,"relu"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,5,"Dense",19,"relu"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,6,"Dense",9,"relu"
0,7,0.349700003862381,30.255633115768433,0.3345721873044968,8,"Dense",10,"softmax"
1,0,0.41370001435279846,50.70983934402466,0.38834509468078615,2,"Dense",11,"relu"
1,0,0.41370001435279846,50.70983934402466,0.38834509468078615,3,"Dense",32,"relu"
1,0,0.41370001435279846,50.70983934402466,0.38834509468078615,4,"Dense",8,"relu"
1,0,0.41370001435279846,50.70983934402466,0.38834509468078615,5,"Dense",10,"softmax"
1,1,0.5313000082969666,26.429006099700928,0.518085505247116,2,"Dense",14,"relu"
1,1,0.5313000082969666,26.429006099700928,0.518085505247116,3,"Dense",30,"relu"
1,1,0.5313000082969666,26.429006099700928,0.518085505247116,4,"Dense",17,"relu"
1,1,0.5313000082969666,26.429006099700928,0.518085505247116,5,"Dense",20,"relu"
1,1,0.5313000082969666,26.429006099700928,0.518085505247116,7,"Dense",10,"softmax"
1,2,0.47429999709129333,25.17255425453186,0.4617137199640274,2,"Dense",10,"relu"
1,2,0.47429999709129333,25.17255425453186,0.4617137199640274,3,"Dense",27,"relu"
1,2,0.47429999709129333,25.17255425453186,0.4617137199640274,4,"Dense",13,"relu"
1,2,0.47429999709129333,25.17255425453186,0.4617137199640274,5,"Dense",16,"relu"
1,2,0.47429999709129333,25.17255425453186,0.4617137199640274,7,"Dense",10,"softmax"
1,3,0.4713999927043915,18.23314905166626,0.46228341817855834,2,"Dense",17,"relu"
1,3,0.4713999927043915,18.23314905166626,0.46228341817855834,3,"Dense",27,"relu"
1,3,0.4713999927043915,18.23314905166626,0.46228341817855834,4,"Dense",8,"relu"
1,3,0.4713999927043915,18.23314905166626,0.46228341817855834,5,"Dense",10,"softmax"
