"generation","genome","accuracy","training_time","layer","type","units","activation"
0,0,0.8623999953269958,7.048000335693359,2,"Dense",11,"relu"
0,0,0.8623999953269958,7.048000335693359,3,"Dense",13,"relu"
0,0,0.8623999953269958,7.048000335693359,5,"Dense",7,"relu"
0,0,0.8623999953269958,7.048000335693359,7,"Dense",10,"softmax"
0,1,0.7928000092506409,25.345999717712402,2,"Dense",7,"relu"
0,1,0.7928000092506409,25.345999717712402,4,"Dense",6,"relu"
0,1,0.7928000092506409,25.345999717712402,5,"Dense",13,"relu"
0,1,0.7928000092506409,25.345999717712402,6,"Dense",10,"softmax"
0,2,0.5735999941825867,21.94900131225586,2,"Dense",13,"relu"
0,2,0.5735999941825867,21.94900131225586,3,"Dense",10,"relu"
0,2,0.5735999941825867,21.94900131225586,4,"Dense",7,"relu"
0,2,0.5735999941825867,21.94900131225586,5,"Dense",12,"relu"
0,2,0.5735999941825867,21.94900131225586,7,"Dense",14,"relu"
0,2,0.5735999941825867,21.94900131225586,8,"Dense",4,"relu"
0,2,0.5735999941825867,21.94900131225586,9,"Dense",8,"relu"
0,2,0.5735999941825867,21.94900131225586,10,"Dense",5,"relu"
0,2,0.5735999941825867,21.94900131225586,12,"Dense",7,"relu"
0,2,0.5735999941825867,21.94900131225586,14,"Dense",8,"relu"
0,2,0.5735999941825867,21.94900131225586,16,"Dense",9,"relu"
0,2,0.5735999941825867,21.94900131225586,18,"Dense",10,"softmax"
0,3,0.29159998893737793,5.595000267028809,2,"Dense",9,"relu"
0,3,0.29159998893737793,5.595000267028809,3,"Dense",11,"relu"
0,3,0.29159998893737793,5.595000267028809,4,"Dense",7,"relu"
0,3,0.29159998893737793,5.595000267028809,5,"Dense",6,"relu"
0,3,0.29159998893737793,5.595000267028809,7,"Dense",8,"relu"
0,3,0.29159998893737793,5.595000267028809,8,"Dense",8,"relu"
0,3,0.29159998893737793,5.595000267028809,9,"Dense",9,"relu"
0,3,0.29159998893737793,5.595000267028809,11,"Dense",9,"relu"
0,3,0.29159998893737793,5.595000267028809,12,"Dense",6,"relu"
0,3,0.29159998893737793,5.595000267028809,13,"Dense",6,"relu"
0,3,0.29159998893737793,5.595000267028809,14,"Dense",10,"relu"
0,3,0.29159998893737793,5.595000267028809,15,"Dense",11,"relu"
0,3,0.29159998893737793,5.595000267028809,16,"Dense",10,"softmax"
0,4,0.8691999912261963,6.899629354476929,2,"Dense",13,"relu"
0,4,0.8691999912261963,6.899629354476929,3,"Dense",5,"relu"
0,4,0.8691999912261963,6.899629354476929,4,"Dense",10,"relu"
0,4,0.8691999912261963,6.899629354476929,5,"Dense",7,"relu"
0,4,0.8691999912261963,6.899629354476929,6,"Dense",13,"relu"
0,4,0.8691999912261963,6.899629354476929,7,"Dense",12,"relu"
0,4,0.8691999912261963,6.899629354476929,8,"Dense",5,"relu"
0,4,0.8691999912261963,6.899629354476929,9,"Dense",13,"relu"
0,4,0.8691999912261963,6.899629354476929,11,"Dense",10,"softmax"
0,5,0.11479999870061874,5.594970703125,2,"Dense",8,"relu"
0,5,0.11479999870061874,5.594970703125,3,"Dense",11,"relu"
0,5,0.11479999870061874,5.594970703125,4,"Dense",10,"relu"
0,5,0.11479999870061874,5.594970703125,6,"Dense",6,"relu"
0,5,0.11479999870061874,5.594970703125,7,"Dense",6,"relu"
0,5,0.11479999870061874,5.594970703125,8,"Dense",10,"relu"
0,5,0.11479999870061874,5.594970703125,9,"Dense",12,"relu"
0,5,0.11479999870061874,5.594970703125,10,"Dense",14,"relu"
0,5,0.11479999870061874,5.594970703125,11,"Dense",4,"relu"
0,5,0.11479999870061874,5.594970703125,12,"Dense",5,"relu"
0,5,0.11479999870061874,5.594970703125,14,"Dense",9,"relu"
0,5,0.11479999870061874,5.594970703125,15,"Dense",10,"softmax"
0,6,0.8464000225067139,25.595972776412964,2,"Dense",9,"relu"
0,6,0.8464000225067139,25.595972776412964,3,"Dense",11,"relu"
0,6,0.8464000225067139,25.595972776412964,4,"Dense",11,"relu"
0,6,0.8464000225067139,25.595972776412964,5,"Dense",11,"relu"
0,6,0.8464000225067139,25.595972776412964,6,"Dense",13,"relu"
0,6,0.8464000225067139,25.595972776412964,8,"Dense",10,"softmax"
0,7,0.6660000085830688,8.365180730819702,2,"Dense",8,"relu"
